addr	size	has_halt_baddata	has_bad_bm	trailing_byte
01096f40	128	true	true	1F
01097138	132	false	false	71
01097f74	520	true	true	1F
01098656	348	true	true	40
01098afe	288	false	false	48
0109926c	86	true	true	7C
010994ec	10	false	false	48
010997a0	398	false	true	99
01099932	14	false	false	80
0109a06c	80	true	true	71
0109a300	338	false	false	00
0109a6a6	150	true	true	AC
0109a82a	60	false	false	01
0109a9a0	90	false	true	00
0109aa5c	490	true	true	0D
0109acba	10	false	false	44
0109acf2	10	false	false	44
0109aea2	202	true	true	31
0109b222	374	false	false	C0
0109b398	106	false	false	01
0109b4b0	162	false	false	5D
0109bb98	226	true	true	7D
0109c17a	48	false	true	CA
0109c1ca	48	false	true	CA
0109c5ce	62	false	false	7D
0109c906	298	false	false	51
0109ca30	508	false	false	00
0109cd38	150	false	false	19
0109d108	12	false	false	6E
0109d8c0	126	false	false	7A
0109ddca	74	false	false	00
0109e126	12	false	false	F4
0109e2a8	12	false	false	F8
0109e4a0	118	false	false	03
0109f02a	82	true	true	B7
0109fa78	96	false	true	2A
0109fbd6	14	true	true	7C
010a0072	944	false	true	E0
010a048a	52	true	true	89
010a061a	160	false	true	E1
010a0dc6	50	true	false	E6
010a0dfa	98	true	true	7D
010a0fe8	28	false	false	63
010a1a94	200	false	false	02
010a208a	100	true	true	1F
010a2346	316	false	true	E6
010a2490	98	true	true	A5
010a26da	394	true	true	1D
010a3148	192	false	false	E1
010a33ae	22	false	false	50
010a3f28	34	false	false	1D
010a415c	174	false	false	C0
010a4608	68	false	false	01
010a46aa	438	false	false	5C
010a50ba	22	false	false	00
010a526e	462	false	true	E1
010a552c	432	false	true	02
010a56dc	528	true	true	6C
010a5958	48	false	false	06
010a5ac6	154	false	true	04
010a5cca	30	false	false	03
010a5dce	80	false	false	1C
010a6114	380	false	false	54
010a66d0	76	true	true	2A
010a6856	28	true	true	54
010a68b0	52	false	false	99
010a68e4	138	true	true	DA
010a7712	26	false	false	00
010a7874	282	true	true	2A
010a818e	82	true	true	00
010a846c	42	false	false	00
010a8ce8	18	false	false	E1
010a8dac	18	false	false	E1
010a8e22	48	false	false	55
010a8e52	18	false	false	E1
010a903a	18	false	false	E1
010a9974	4	false	false	E1
010a99cc	160	false	false	60
010aa22c	24	false	false	1D
010aa262	24	false	false	1D
010aa91e	128	false	true	E1
010aa9dc	146	false	false	01
010aac50	58	false	false	E1
010aae72	50	false	false	00
010aaf00	4	false	false	70
010ab1b0	14	false	false	50
010ab47a	14	false	false	50
010ac402	18	false	false	E1
010acb9e	280	true	true	40
010acdb4	268	false	false	0E
010ad2ea	308	false	false	85
010ae43c	310	true	true	B7
010aeb62	56	false	false	01
010aebac	20	false	false	01
010aed5a	154	false	false	01
010af0f0	14	true	true	7C
010af116	32	false	false	E8
010af486	42	true	true	72
010af6fc	88	false	false	90
010af9d0	278	false	true	30
010afcd8	876	false	false	20
010b0696	84	false	false	82
010b0860	40	false	false	1C
010b114c	178	false	false	C0
010b11fe	138	false	true	01
010b1578	710	false	true	00
010b2740	54	false	false	03
010b2902	22	false	true	00
010b3c64	18	false	false	10
010b3d02	10	false	false	00
010b4088	18	false	false	E1
010b40c0	68	false	false	60
010b423a	18	false	false	E1
010b4272	68	false	false	60
010b47c6	56	false	false	55
010b47fe	252	false	true	22
010b49c4	48	false	false	01
010b4a7a	56	false	false	55
010b4ab2	176	false	true	00
010b4cdc	36	false	false	E1
010b4d26	80	false	false	55
010b4e3e	80	false	false	55
010b4ef8	18	false	false	E1
010b4f30	94	false	false	03
010b521e	18	false	false	E1
010b5256	182	false	false	E1
010b5498	42	false	false	E1
010b5560	54	false	false	55
010b5596	54	false	false	0B
010b5688	42	false	false	E1
010b5832	42	false	false	08
010b5ab0	56	false	false	55
010b5ae8	84	false	false	60
010b5ccc	56	false	false	55
010b5d04	44	false	true	30
010b5e4e	18	false	false	E1
010b5f3a	212	false	true	55
010b600e	44	false	true	30
010b60b4	54	false	false	55
010b60ea	92	false	true	E1
010b6d94	54	false	false	55
010b6dca	60	false	false	09
010b71a8	18	false	false	E1
010b7370	24	false	false	00
010b7502	54	false	false	02
010b773c	54	false	false	55
010b7772	276	false	true	E1
010b7d88	18	false	false	E1
010b7dc0	108	false	false	71
010b82e0	122	false	true	00
010b831a	2	false	false	58
010b8546	4	false	false	00
010b8a66	38	false	false	E1
010b8acc	12	false	false	04
010b8b62	38	false	false	E1
010b8bc8	252	false	false	80
010b8e10	120	false	false	C0
010b8e8a	208	false	false	E1
010b97b2	874	true	true	A4
010b9bb0	30	true	true	70
010ba2f0	50	true	true	70
010ba46c	56	true	true	53
010ba506	32	true	true	70
010ba5b4	14	true	true	51
010ba92a	48	true	true	70
010baa90	30	true	true	A4
010babaa	52	true	true	34
010babf2	56	true	true	70
010bae2e	442	false	true	02
010bb0f2	12	false	false	E1
010bb166	266	true	true	1C
010bb288	76	true	true	CE
010bb31e	10	false	false	42
010bba42	10	false	false	0E
010bbab4	18	false	false	0E
010bbc72	152	false	true	0B
010bc034	28	false	false	00
010bc348	40	false	false	05
010bc760	18	false	false	01
010bcb38	24	false	false	C4
010bcb56	116	false	false	18
010bcbd2	28	false	false	71
010bcbf6	58	true	true	2B
010bce92	162	true	true	80
010bd452	174	false	true	2A
010bd5ac	84	true	true	2B
010bdc7c	22	false	false	33
010bdf1c	138	false	false	50
010bdfa0	18	false	false	04
010bdfb2	44	false	false	FD
010bdfde	242	false	false	94
010be6b4	418	true	true	E6
010beac8	264	true	true	90
010bec2a	42	true	true	10
010bf7ec	32	true	true	71
010bf9e8	30	false	false	2F
010bfac0	14	true	true	E0
010bfc42	2	false	false	40
010bfdbc	84	false	false	0C
010c093c	244	false	false	00
010c0bc4	70	false	false	01
010c0c24	6	false	false	11
010c0dac	136	false	true	E5
010c0ea0	550	true	true	1D
010c10d0	588	true	true	01
010c1968	198	false	false	1C
010c1a92	88	false	true	01
010c1b72	486	false	true	00
010c1f80	542	false	false	00
010c24fc	218	false	false	00
010c2e18	76	false	false	03
010c31c0	414	false	true	71
010c3f26	104	false	true	E1
010c3fce	46	false	true	35
010c4278	82	false	false	95
010c42ca	600	false	true	55
010c4e02	24	false	false	19
010c4e1c	136	false	false	98
010c5294	36	false	false	55
010c54b8	8	false	false	48
010c5c1e	32	true	true	1D
010c5f6c	1316	true	true	50
010c670a	8	true	true	AC
010c69c4	114	false	false	60
010c7106	248	true	true	C3
010c72c4	212	false	false	00
010c7546	36	false	false	00
010c7586	70	true	true	E0
010c79e0	28	false	false	00
010c7a18	22	false	false	00
010c7a7a	8	true	true	71
010c7a94	26	false	false	00
010c7b1a	8	true	true	D7
010c7bde	16	false	false	7C
010c7bee	12	true	true	D7
010c7dd4	12	true	true	51
010c7e50	18	true	true	71
010c7e62	12	true	true	58
010c8198	24	true	true	71
010c8230	32	true	true	55
010c82f0	12	true	true	7A
010c8490	16	true	true	66
010c884a	100	true	true	55
010c8c2a	28	true	true	57
010c8de0	20	true	true	03
010c900a	50	true	true	7C
010c9206	60	true	true	10
010c9374	36	true	true	D8
010c9476	32	false	false	00
010c9b6c	42	false	false	7C
010c9c6e	18	false	false	E2
010c9d1e	22	false	false	31
010c9ebe	32	true	true	22
010ca00e	12	true	true	10
010ca0d8	32	true	true	11
010ca1e2	32	true	true	11
010ca2f2	36	true	true	11
010cac5a	16	true	true	51
010cac98	20	true	true	2A
010cb1d4	368	true	true	C5
010cb3c2	56	true	true	10
010cb7de	20	true	true	73
010cb998	26	true	true	22
010cbd72	240	true	true	E2
010cbe9c	90	false	false	98
010cc630	2	false	false	BB
010cc77c	70	false	false	7C
010cc812	24	true	true	7C
010cd194	22	true	true	35
010cd1ba	50	true	true	18
010cd328	14	true	true	D4
010cd36a	32	true	true	70
010cddd0	28	true	true	10
010cded4	28	true	true	10
010ce098	14	false	false	01
010ce118	22	true	false	00
010ce12e	22	true	true	10
010ce1e4	58	true	true	01
010ce280	18	true	true	10
010ce400	52	false	false	01
010ce8da	190	true	true	55
010ceb3e	176	true	true	79
010cf148	28	true	true	5D
010cf322	32	true	true	51
010cf36c	44	false	false	FC
010cf398	20	true	true	1C
010cf43c	48	false	false	01
010cf544	60	true	true	66
010cf598	26	true	true	50
010cf62a	10	true	true	E0
010cf74c	40	false	true	E1
010cf794	16	true	true	2A
010cf7e0	104	true	true	35
010cf970	24	true	true	57
010d0ab4	2	false	false	02
010d0c98	14	true	true	58
010d0e68	14	true	true	58
010d126c	168	true	true	18
010d13ac	30	true	true	2A
010d146e	16	true	true	18
010d18de	22	true	true	10
010d203c	18	false	false	02
010d2220	72	true	true	A8
010d2b06	6	false	false	02
010d2cde	30	true	true	70
010d3560	302	false	true	00
010d372e	16	false	false	E4
010d37a0	14	false	false	0C
010d38b2	14	false	false	0C
010d454e	82	true	true	22
010d477a	46	false	true	00
010d47a8	2	false	false	18
010d4b66	28	true	true	62
010d4ca0	14	false	false	71
010d51c8	8	true	true	D4
010d546e	12	false	true	6A
010d55a0	38	true	true	75
010d5770	36	true	true	E0
010d58fc	4	false	false	E4
010d5a78	40	true	true	5C
010d5bf6	72	true	true	79
010d6850	34	true	true	51
010d699c	16	true	true	51
010d7102	30	false	false	7D
010d717c	94	true	true	00
010d725e	36	false	false	E6
010d7282	22	false	false	58
010d739a	58	false	false	58
010d7792	38	false	false	55
010d78d8	284	true	true	E2
010d7a02	90	false	false	98
010d7ad6	22	true	true	22
010d7dc0	100	false	false	E0
010d8192	14	true	true	D3
010d8478	54	false	false	E1
010d8b7e	34	true	true	00
010da010	90	true	true	00
010dabae	62	false	true	00
010db65c	34	false	true	00
010dc23a	34	false	true	00
010dc798	56	false	true	00
010dc7f4	34	false	true	00
010dc92e	34	false	true	00
010dcb04	34	false	true	00
010dd668	34	false	true	00
010dd70c	34	false	true	00
010dd9ec	34	false	true	00
010ddb9e	34	false	true	00
010ddc54	34	false	true	00
010dde9e	34	false	true	00
010ddf7c	34	false	true	00
010dec7c	34	false	true	00
010df266	368	false	true	01
010df4ec	10	false	false	06
010df4f6	168	false	true	02
010df7fa	256	false	false	00
010df9dc	208	false	false	04
010dffa0	76	false	false	04
010e0562	206	false	false	71
010e0716	226	false	false	50
010e09ae	70	false	false	6E
010e0e80	78	false	false	01
010e1102	80	false	false	66
010e1966	42	false	false	19
010e1b0e	108	false	false	E8
010e1db2	102	false	false	E8
010e205a	238	false	false	5A
010e23f0	2	false	false	01
010e2800	626	false	true	42
010e2a54	208	false	false	00
010e2b24	154	false	true	4B
010e2ff0	174	false	true	00
010e30d2	68	false	false	47
010e32f8	14	false	false	18
010e3306	180	false	true	37
010e3410	204	false	false	43
010e351c	286	false	false	2A
010e363a	84	false	true	45
010e3758	32	false	false	5B
010e3b94	40	false	false	00
010e40e2	8	false	false	00
010e4868	98	false	false	2F
010e4a52	32	false	false	31
010e4c8a	6	false	false	D1
010e4cba	264	false	false	2D
010e50e8	86	false	false	26
010e514c	100	false	false	43
010e535a	16	false	false	4B
010e57ec	202	false	false	1F
010e5c92	58	false	false	1B
010e63ae	302	false	false	55
010e6c60	486	false	false	09
010e72fc	162	false	false	79
010e739e	392	false	false	0A
010e8c98	86	false	true	00
010e8fdc	46	false	true	00
010ea02c	34	false	true	00
010ed422	3106	true	true	FF
