start_hex,abs_hex,end_hex,length,class,confidence,BDL_bytes,EDL_bytes,BDL_interp,EDL_interp
0x072fc,0x101d72fc,0x07302,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x07308,0x101d7308,0x0730e,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x07314,0x101d7314,0x0731a,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x07320,0x101d7320,0x07326,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x0734c,0x101d734c,0x07354,8,unknown,low,cd 4c 66 66 00 80 00 80,66 a6 9a 99 9a 99 33 b3,"u16=[19661, 26214, 32768, 32768]","u16=[42598, 39322, 39322, 45875]"
0x07361,0x101d7361,0x07362,1,unknown,low,80,a0,,
0x0736c,0x101d736c,0x07374,8,unknown,low,00 c0 00 c0 00 a0 33 b3,9a 99 66 a6 00 a0 00 a0,"f=[-2.012, -4.182e-08]","u16=[39322, 42598, 40960, 40960]"
0x073b7,0x101d73b7,0x073b8,1,unknown,low,40,30,,
0x073c4,0x101d73c4,0x073c6,2,float_scalar,low,b0 36,30 2a,u16=[14000],u16=[10800]
0x07421,0x101d7421,0x07422,1,unknown,low,80,c0,,
0x075c5,0x101d75c5,0x075c8,3,float_table,low,b0 bc 45,08 00 46,,
0x075d0,0x101d75d0,0x075d3,3,float_table,low,a6 e9 0a,00 40 2b,,
0x07600,0x101d7600,0x07607,7,float_table,low,d0 b3 19 3f 1c 7c e1,94 f6 16 3f 61 c3 d3,,
0x076d4,0x101d76d4,0x076eb,23,float_table,low,1b 2f a8 41 f8 c2 dc 41 68 b3 d7 41 c9 76 dc 41 ca d4 cb 41 d0 d5 bb,34 80 88 41 36 cd c8 41 98 6e ca 41 0e 3e ba 41 a0 89 bf 41 23 4a 94,,
0x2fbe0,0x101ffbe0,0x2fbe4,4,unknown,low,dc 68 c0 5c,17 22 61 e1,"u16=[26844, 23744]","u16=[8727, 57697]"
0x2fbf0,0x101ffbf0,0x2fbf2,2,unknown,low,88 6f,f3 7a,u16=[28552],u16=[31475]
0x2fbfa,0x101ffbfa,0x2fc00,6,unknown,low,28 ba 0f 39 2c 93,27 b4 cc 3b 1e 3a,"u16=[47656, 14607, 37676]","u16=[46119, 15308, 14878]"
